2024-12-11 20:05:05,017 - INFO - Step 825-850: Avg Loss=0.380127, Avg Step Time=0.098s, Avg Learning Rate=0.024750, Peak Memory Usage=5.88GB
2024-12-11 20:05:07,784 - INFO - Step 850-875: Avg Loss=0.824707, Avg Step Time=0.100s, Avg Learning Rate=0.025500, Peak Memory Usage=5.88GB
2024-12-11 20:05:10,565 - INFO - Step 875-900: Avg Loss=0.022751, Avg Step Time=0.100s, Avg Learning Rate=0.026250, Peak Memory Usage=5.88GB
2024-12-11 20:05:13,332 - INFO - Step 900-925: Avg Loss=0.832031, Avg Step Time=0.098s, Avg Learning Rate=0.027000, Peak Memory Usage=5.88GB
2024-12-11 20:05:16,130 - INFO - Step 925-950: Avg Loss=0.047699, Avg Step Time=0.100s, Avg Learning Rate=0.027750, Peak Memory Usage=5.88GB
2024-12-11 20:05:18,876 - INFO - Step 950-975: Avg Loss=0.405029, Avg Step Time=0.099s, Avg Learning Rate=0.028500, Peak Memory Usage=5.88GB
2024-12-11 20:05:21,752 - INFO - Step 975-1000: Avg Loss=0.165894, Avg Step Time=0.099s, Avg Learning Rate=0.029250, Peak Memory Usage=5.88GB
2024-12-11 20:05:24,533 - INFO - Step 1000-1025: Avg Loss=0.208374, Avg Step Time=0.103s, Avg Learning Rate=0.030000, Peak Memory Usage=5.88GB
2024-12-11 20:05:27,258 - INFO - Step 1025-1050: Avg Loss=0.134033, Avg Step Time=0.099s, Avg Learning Rate=0.030000, Peak Memory Usage=5.88GB
2024-12-11 20:05:30,016 - INFO - Step 1050-1075: Avg Loss=0.433350, Avg Step Time=0.098s, Avg Learning Rate=0.030000, Peak Memory Usage=5.88GB
2024-12-11 20:05:32,799 - INFO - Step 1075-1100: Avg Loss=0.157959, Avg Step Time=0.104s, Avg Learning Rate=0.030000, Peak Memory Usage=5.88GB
2024-12-11 20:05:35,609 - INFO - Step 1100-1125: Avg Loss=0.322021, Avg Step Time=0.106s, Avg Learning Rate=0.030000, Peak Memory Usage=5.88GB
2024-12-11 20:05:38,395 - INFO - Step 1125-1150: Avg Loss=0.140747, Avg Step Time=0.098s, Avg Learning Rate=0.030000, Peak Memory Usage=5.88GB
2024-12-11 20:05:41,163 - INFO - Step 1150-1175: Avg Loss=0.373291, Avg Step Time=0.098s, Avg Learning Rate=0.030000, Peak Memory Usage=5.88GB
2024-12-11 20:05:43,923 - INFO - Step 1175-1200: Avg Loss=0.042908, Avg Step Time=0.101s, Avg Learning Rate=0.030000, Peak Memory Usage=5.88GB
2024-12-11 20:05:46,726 - INFO - Step 1200-1225: Avg Loss=0.236572, Avg Step Time=0.107s, Avg Learning Rate=0.030000, Peak Memory Usage=5.88GB
2024-12-11 20:05:49,512 - INFO - Step 1225-1250: Avg Loss=0.588867, Avg Step Time=0.100s, Avg Learning Rate=0.030000, Peak Memory Usage=5.88GB
2024-12-11 20:05:52,296 - INFO - Step 1250-1275: Avg Loss=0.272705, Avg Step Time=0.103s, Avg Learning Rate=0.030000, Peak Memory Usage=5.88GB
2024-12-11 20:05:55,100 - INFO - Step 1275-1300: Avg Loss=0.028137, Avg Step Time=0.101s, Avg Learning Rate=0.030000, Peak Memory Usage=5.88GB
2024-12-11 20:05:58,068 - INFO - Step 1300-1325: Avg Loss=0.109192, Avg Step Time=0.105s, Avg Learning Rate=0.030000, Peak Memory Usage=5.88GB
2024-12-11 20:06:00,976 - INFO - Step 1325-1350: Avg Loss=0.760254, Avg Step Time=0.098s, Avg Learning Rate=0.030000, Peak Memory Usage=5.88GB
2024-12-11 20:06:03,833 - INFO - Step 1350-1375: Avg Loss=0.382568, Avg Step Time=0.101s, Avg Learning Rate=0.030000, Peak Memory Usage=5.88GB
2024-12-11 20:06:06,705 - INFO - Step 1375-1400: Avg Loss=0.418457, Avg Step Time=0.112s, Avg Learning Rate=0.030000, Peak Memory Usage=5.88GB
2024-12-11 20:06:09,577 - INFO - Step 1400-1425: Avg Loss=0.880371, Avg Step Time=0.102s, Avg Learning Rate=0.030000, Peak Memory Usage=5.88GB
2024-12-11 20:06:12,351 - INFO - Step 1425-1450: Avg Loss=0.024536, Avg Step Time=0.100s, Avg Learning Rate=0.030000, Peak Memory Usage=5.88GB
2024-12-11 20:06:15,147 - INFO - Step 1450-1475: Avg Loss=0.020401, Avg Step Time=0.108s, Avg Learning Rate=0.030000, Peak Memory Usage=5.88GB
2024-12-11 20:06:17,945 - INFO - Step 1475-1500: Avg Loss=0.023544, Avg Step Time=0.102s, Avg Learning Rate=0.030000, Peak Memory Usage=5.88GB
2024-12-11 20:06:20,720 - INFO - Step 1500-1525: Avg Loss=0.142090, Avg Step Time=0.099s, Avg Learning Rate=0.030000, Peak Memory Usage=5.88GB
2024-12-11 20:06:23,478 - INFO - Step 1525-1550: Avg Loss=0.455811, Avg Step Time=0.101s, Avg Learning Rate=0.030000, Peak Memory Usage=5.88GB
2024-12-11 20:06:26,267 - INFO - Step 1550-1575: Avg Loss=0.082703, Avg Step Time=0.098s, Avg Learning Rate=0.030000, Peak Memory Usage=5.88GB
2024-12-11 20:06:29,055 - INFO - Step 1575-1600: Avg Loss=0.017685, Avg Step Time=0.097s, Avg Learning Rate=0.030000, Peak Memory Usage=5.88GB
2024-12-11 20:06:31,809 - INFO - Step 1600-1625: Avg Loss=0.216431, Avg Step Time=0.099s, Avg Learning Rate=0.030000, Peak Memory Usage=5.88GB
2024-12-11 20:06:34,591 - INFO - Step 1625-1650: Avg Loss=0.487793, Avg Step Time=0.125s, Avg Learning Rate=0.030000, Peak Memory Usage=5.88GB
